Name,Lat,Lon
Tennskap 743.030,58.08407,7.60501
Tennskap 743.040,58.07343,7.57984
Tennskap 743.204,58.03642,7.49395
Tennskap 743.050,58.07061,7.55316
Sandnesheiatunnel,58.03967,7.49834
Tennskap 743.203,58.05232,7.51422
Tennskap 743.020,58.09451,7.62384
743.202,58.06791,7.53446
743.201,58.0945,7.62378
Tennskap 743.060,58.06794,7.53442
Skrubbedalen,58.59317,8.89745
Langsæveien,58.47269,8.74466
Ravnåsveien,58.46814,8.73832
Skap,58.4994,8.79468
Trælfjell,58.52724,8.84721
Torsbuås0,58.47948,8.75339
Vennevannsliene,58.60443,8.89998
Bråten bru,58.5771,8.90563
Årdalen,58.56382,8.89368
Rosstjern,58.55224,8.87032
Skarkedalen,58.54215,8.8573
Mørland,58.51004,8.82022
Fløyheia,58.62932,8.89756
Torsbuås1,58.48171,8.75517
Hesthaugtunnel,58.51903,8.83875
Europaveien0,59.00007,9.59379
Europaveien1,59.00235,9.61643
Europaveien2,59.01721,9.65601
Europaveien3,59.0215,9.6714
Rugtvedtveien,59.03595,9.67685
Gongeveien,58.96764,9.48388
Europaveien4,59.00157,9.60494
Europaveien5,58.97495,9.52533
Europaveien6,58.97185,9.51339
Europaveien7,58.97986,9.53643
Europaveien8,58.98707,9.56081
Europaveien9,58.99295,9.57702
Europaveien10,59.00902,9.62682
Grendstøl,58.61472,8.90255
Europaveien11,59.01365,9.64303
Kastbakkvegen,60.91746,10.70296
Rudsvegen,60.91174,10.81227
Gamle Kongsveg,60.85479,10.9926
Melgård,60.85397,11.00001
Pellervika,60.88379,10.91312
Harpviken,60.88737,10.89263
Langbakken,60.84751,11.02713
Nydalskrysset,60.8419,11.04692
Åshøgdvegen,60.89555,10.84395
Ulvegutua,60.91368,10.7619
Gatelys,60.90144,10.83315
Nils Amblis veg,60.87921,10.92894
Røsslyngvegen,60.91457,10.71544
Strandvegen,60.87132,10.94735
Rudsflata,60.9155,10.78851
